case,event
case1,A
case1,B
case1,C
case1,D
case1,F
case1,B
case1,C
case1,E
case1,G
case1,H
case1,J
case1,K
case1,N
case1,R
case1,S
case1,R
case1,T
case1,W
case1,T
case1,W
case1,S
case1,K
case1,L
case1,M
case1,L
case1,O
case1,Q
case1,Z
case2,A
case2,B
case2,C
case2,D
case2,X
case3,A
case3,B
case3,C
case3,D
case3,F
case3,B
case3,C
case3,D
case3,X
case4,A
case4,B
case4,C
case4,E
case4,H
case4,G
case4,J
case4,R
case4,T
case4,Y
case4,Z
case5,A
case5,B
case5,C
case5,E
case5,G
case5,H
case5,J
case5,R
case5,T
case5,Y
case5,Z
case6,A
case6,B
case6,C
case6,E
case6,H
case6,G
case6,J
case6,K
case6,L
case6,O
case6,Q
case6,Z
case7,A
case7,B
case7,C
case7,E
case7,G
case7,H
case7,J
case7,K
case7,L
case7,O
case7,Q
case7,Z
case8,A
case8,B
case8,C
case8,E
case8,H
case8,G
case8,J
case8,R
case8,T
case8,W
case8,T
case8,Y
case8,Z
case9,A
case9,B
case9,C
case9,E
case9,H
case9,G
case9,J
case9,R
case9,S
case9,R
case9,T
case9,Y
case9,Z
case10,A
case10,B
case10,C
case10,E
case10,H
case10,G
case10,J
case10,K
case10,N
case10,R
case10,T
case10,Y
case10,Z
case11,A
case11,B
case11,C
case11,E
case11,G
case11,H
case11,J
case11,R
case11,T
case11,W
case11,T
case11,Y
case11,Z
case12,A
case12,B
case12,C
case12,E
case12,G
case12,H
case12,J
case12,R
case12,S
case12,R
case12,T
case12,Y
case12,Z
case13,A
case13,B
case13,C
case13,E
case13,G
case13,H
case13,J
case13,K
case13,N
case13,R
case13,T
case13,Y
case13,Z
case14,A
case14,B
case14,C
case14,E
case14,H
case14,G
case14,J
case14,R
case14,S
case14,K
case14,L
case14,O
case14,Q
case14,Z
case15,A
case15,B
case15,C
case15,E
case15,H
case15,G
case15,J
case15,K
case15,L
case15,M
case15,L
case15,O
case15,Q
case15,Z
case16,A
case16,B
case16,C
case16,E
case16,H
case16,G
case16,J
case16,K
case16,N
case16,K
case16,L
case16,O
case16,Q
case16,Z
case17,A
case17,B
case17,C
case17,E
case17,G
case17,H
case17,J
case17,R
case17,S
case17,K
case17,L
case17,O
case17,Q
case17,Z
case18,A
case18,B
case18,C
case18,E
case18,G
case18,H
case18,J
case18,K
case18,L
case18,M
case18,L
case18,O
case18,Q
case18,Z
case19,A
case19,B
case19,C
case19,E
case19,G
case19,H
case19,J
case19,K
case19,N
case19,K
case19,L
case19,O
case19,Q
case19,Z
case20,A
case20,B
case20,C
case20,D
case20,F
case20,B
case20,C
case20,E
case20,H
case20,G
case20,J
case20,R
case20,T
case20,Y
case20,Z
case21,A
case21,B
case21,C
case21,D
case21,F
case21,B
case21,C
case21,E
case21,G
case21,H
case21,J
case21,R
case21,T
case21,Y
case21,Z
case22,A
case22,B
case22,C
case22,E
case22,H
case22,G
case22,J
case22,R
case22,T
case22,W
case22,S
case22,R
case22,T
case22,Y
case22,Z
case23,A
case23,B
case23,C
case23,E
case23,H
case23,G
case23,J
case23,R
case23,S
case23,K
case23,N
case23,R
case23,T
case23,Y
case23,Z
case24,A
case24,B
case24,C
case24,E
case24,H
case24,G
case24,J
case24,R
case24,S
case24,R
case24,T
case24,W
case24,T
case24,Y
case24,Z
case25,A
case25,B
case25,C
case25,E
case25,H
case25,G
case25,J
case25,K
case25,L
case25,M
case25,N
case25,R
case25,T
case25,Y
case25,Z
case26,A
case26,B
case26,C
case26,E
case26,H
case26,G
case26,J
case26,K
case26,L
case26,O
case26,P
case26,R
case26,T
case26,Y
case26,Z
case27,A
case27,B
case27,C
case27,E
case27,H
case27,G
case27,J
case27,K
case27,N
case27,K
case27,N
case27,R
case27,T
case27,Y
case27,Z
case28,A
case28,B
case28,C
case28,E
case28,H
case28,G
case28,J
case28,K
case28,N
case28,R
case28,T
case28,W
case28,T
case28,Y
case28,Z
case29,A
case29,B
case29,C
case29,E
case29,H
case29,G
case29,J
case29,K
case29,N
case29,R
case29,S
case29,R
case29,T
case29,Y
case29,Z
case30,A
case30,B
case30,C
case30,E
case30,G
case30,H
case30,J
case30,R
case30,T
case30,W
case30,S
case30,R
case30,T
case30,Y
case30,Z
case31,A
case31,B
case31,C
case31,E
case31,G
case31,H
case31,J
case31,R
case31,S
case31,K
case31,N
case31,R
case31,T
case31,Y
case31,Z
case32,A
case32,B
case32,C
case32,E
case32,G
case32,H
case32,J
case32,R
case32,S
case32,R
case32,T
case32,W
case32,T
case32,Y
case32,Z
case33,A
case33,B
case33,C
case33,E
case33,G
case33,H
case33,J
case33,K
case33,L
case33,M
case33,N
case33,R
case33,T
case33,Y
case33,Z
case34,A
case34,B
case34,C
case34,E
case34,G
case34,H
case34,J
case34,K
case34,L
case34,O
case34,P
case34,R
case34,T
case34,Y
case34,Z
case35,A
case35,B
case35,C
case35,E
case35,G
case35,H
case35,J
case35,K
case35,N
case35,K
case35,N
case35,R
case35,T
case35,Y
case35,Z
case36,A
case36,B
case36,C
case36,E
case36,G
case36,H
case36,J
case36,K
case36,N
case36,R
case36,T
case36,W
case36,T
case36,Y
case36,Z
case37,A
case37,B
case37,C
case37,E
case37,G
case37,H
case37,J
case37,K
case37,N
case37,R
case37,S
case37,R
case37,T
case37,Y
case37,Z
case38,A
case38,B
case38,C
case38,D
case38,F
case38,B
case38,C
case38,E
case38,H
case38,G
case38,J
case38,K
case38,L
case38,O
case38,Q
case38,Z
case39,A
case39,B
case39,C
case39,D
case39,F
case39,B
case39,C
case39,E
case39,G
case39,H
case39,J
case39,K
case39,L
case39,O
case39,Q
case39,Z
case40,A
case40,B
case40,C
case40,E
case40,H
case40,G
case40,J
case40,R
case40,T
case40,W
case40,S
case40,K
case40,L
case40,O
case40,Q
case40,Z
case41,A
case41,B
case41,C
case41,E
case41,H
case41,G
case41,J
case41,R
case41,S
case41,K
case41,L
case41,M
case41,L
case41,O
case41,Q
case41,Z
case42,A
case42,B
case42,C
case42,E
case42,H
case42,G
case42,J
case42,R
case42,S
case42,K
case42,N
case42,K
case42,L
case42,O
case42,Q
case42,Z
case43,A
case43,B
case43,C
case43,E
case43,H
case43,G
case43,J
case43,R
case43,S
case43,R
case43,S
case43,K
case43,L
case43,O
case43,Q
case43,Z
case44,A
case44,B
case44,C
case44,E
case44,H
case44,G
case44,J
case44,K
case44,L
case44,M
case44,N
case44,K
case44,L
case44,O
case44,Q
case44,Z
case45,A
case45,B
case45,C
case45,E
case45,H
case45,G
case45,J
case45,K
case45,L
case45,O
case45,P
case45,K
case45,L
case45,O
case45,Q
case45,Z
case46,A
case46,B
case46,C
case46,E
case46,H
case46,G
case46,J
case46,K
case46,N
case46,K
case46,L
case46,M
case46,L
case46,O
case46,Q
case46,Z
case47,A
case47,B
case47,C
case47,E
case47,H
case47,G
case47,J
case47,K
case47,N
case47,R
case47,S
case47,K
case47,L
case47,O
case47,Q
case47,Z
case48,A
case48,B
case48,C
case48,E
case48,G
case48,H
case48,J
case48,R
case48,T
case48,W
case48,S
case48,K
case48,L
case48,O
case48,Q
case48,Z
case49,A
case49,B
case49,C
case49,E
case49,G
case49,H
case49,J
case49,R
case49,S
case49,K
case49,L
case49,M
case49,L
case49,O
case49,Q
case49,Z
case50,A
case50,B
case50,C
case50,E
